Geneid	CWT_NN_1.bam	CWT_NN_2.bam	CWT_NN_3.bam	CKO_NN_1.bam	CKO_NN_2.bam	CKO_NN_3.bam	NWT_NN_1.bam	NWT_NN_2.bam	NWT_NN_3.bam	NKO_NN_1.bam	NKO_NN_2.bam	NKO_NN_3.bam
ENSMUSG00000102693	0	0	0	0	1	0	0	2	2	0	1	0
ENSMUSG00000064842	1	0	0	1	0	1	0	0	0	1	2	1
ENSMUSG00000051951	1695	1961	2082	1563	1535	1760	1409	1628	2138	1615	1947	1414
ENSMUSG00000102851	30	23	38	26	30	36	20	32	32	29	28	29
ENSMUSG00000103377	222	242	371	226	207	244	167	217	217	247	254	193
ENSMUSG00000104017	202	163	231	176	160	179	136	168	163	178	192	167
ENSMUSG00000103025	72	79	102	80	54	88	62	61	69	73	53	94
ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	128	95	136	101	97	107	114	85	111	97	97	106
ENSMUSG00000103147	93	89	114	79	90	108	71	105	108	99	100	95
ENSMUSG00000103161	245	235	320	226	237	293	191	244	298	289	279	278
ENSMUSG00000102331	323	351	421	280	338	334	267	292	347	341	328	308
ENSMUSG00000102348	1	2	4	0	1	0	4	1	2	4	1	4
ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	1	0	0	0	2	0	0
ENSMUSG00000025900	11	8	11	5	8	24	11	8	14	11	11	8
ENSMUSG00000102948	0	0	0	0	4	0	0	0	0	0	0	0
ENSMUSG00000104123	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000025902	85	61	73	77	61	71	111	58	127	76	84	121
ENSMUSG00000104238	3	0	1	1	2	1	1	3	0	0	1	1
ENSMUSG00000102269	1	0	1	2	0	3	2	1	3	1	2	1
ENSMUSG00000096126	0	1	0	0	0	0	1	0	2	1	0	0
ENSMUSG00000103003	0	0	1	1	0	0	0	1	0	1	0	0
ENSMUSG00000104328	8	1	3	2	2	4	2	3	1	2	3	1
ENSMUSG00000102735	0	0	2	4	1	0	0	1	1	0	1	0
ENSMUSG00000098104	5	6	7	14	11	19	5	12	9	8	9	12
ENSMUSG00000102175	8	4	5	7	7	9	10	5	1	7	5	4
ENSMUSG00000088000	3	0	3	3	0	2	2	1	2	1	1	0
ENSMUSG00000103265	4	4	6	3	8	6	4	3	5	7	3	8
ENSMUSG00000103922	24	25	32	34	25	40	22	32	20	35	32	29
ENSMUSG00000033845	706	736	778	686	880	880	579	638	672	605	622	684
ENSMUSG00000102275	23	36	25	40	29	54	17	24	30	19	26	29
ENSMUSG00000025903	235	313	307	328	384	442	340	209	353	253	231	375
ENSMUSG00000104217	0	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000033813	1599	1500	1597	1426	1840	1908	1294	1212	1589	1250	1383	1774
ENSMUSG00000062588	54	24	64	43	42	60	45	42	45	56	54	48
ENSMUSG00000103280	55	54	53	66	45	58	40	35	54	47	54	42
ENSMUSG00000002459	210	195	201	196	265	284	167	205	225	188	220	234
ENSMUSG00000091305	4	7	20	12	11	14	6	5	11	5	8	12
ENSMUSG00000102653	25	34	24	23	34	42	30	31	30	40	25	53
ENSMUSG00000085623	72	86	94	102	120	134	68	127	96	121	103	127
ENSMUSG00000091665	2	0	0	2	0	2	0	1	0	0	0	0
ENSMUSG00000033793	2111	2592	2236	2071	2628	2655	1870	1924	2334	1877	1992	2208
ENSMUSG00000104352	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046	1	0	1	0	0	0	0	0	0	0	0	1
ENSMUSG00000102907	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905	41	20	32	22	61	37	42	16	62	34	59	45
ENSMUSG00000103936	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774	5	13	14	7	10	8	6	8	8	4	12	12
ENSMUSG00000103090	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025907	3099	3647	3403	3362	4114	4229	2963	2807	3502	3009	3356	3539
ENSMUSG00000090031	219	226	235	209	248	254	203	203	240	201	213	230
ENSMUSG00000087247	0	1	0	2	0	1	0	0	0	0	0	0
ENSMUSG00000103355	2	0	1	0	2	3	0	1	1	4	3	6
ENSMUSG00000102706	0	0	0	0	0	0	1	1	0	0	0	0
ENSMUSG00000103845	139	131	150	92	171	147	110	112	154	122	113	103
ENSMUSG00000033740	616	661	545	725	1066	922	567	551	796	621	399	835
ENSMUSG00000103329	17	15	9	16	15	16	11	12	12	14	8	22
ENSMUSG00000104385	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000102135	1	1	1	4	3	3	0	0	2	2	2	3
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	1	0	0	0	0	1	1	0
ENSMUSG00000051285	1364	1631	1567	1587	1665	1880	1332	1147	1537	1254	1437	1477
ENSMUSG00000098201	15	16	24	24	37	24	24	16	26	18	24	25
ENSMUSG00000103509	399	497	515	531	538	594	446	343	433	438	440	435
ENSMUSG00000048538	8	11	9	3	8	19	6	6	13	6	9	12
ENSMUSG00000103709	0	0	0	1	3	0	0	1	1	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000102768	0	0	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000097797	110	88	129	111	76	106	97	105	116	117	119	111
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000103067	0	0	0	1	0	0	0	0	0	0	0	1
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	514	484	630	554	657	660	426	366	604	577	610	608
ENSMUSG00000102647	15	11	20	20	34	25	26	11	19	23	26	31
ENSMUSG00000086235	5	10	5	6	3	7	3	5	5	7	1	2
ENSMUSG00000102253	34	22	36	34	29	42	34	18	31	32	41	45
ENSMUSG00000093970	0	0	1	1	1	1	0	4	0	0	1	1
ENSMUSG00000103884	9	12	13	9	7	17	8	5	10	15	16	11
ENSMUSG00000084353	6	2	4	3	5	6	1	1	6	5	3	3
ENSMUSG00000103933	6	3	7	5	7	14	5	5	10	21	6	13
ENSMUSG00000076135	5	6	4	5	6	7	1	1	2	5	2	6
ENSMUSG00000086195	3	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000104504	1	0	0	0	0	2	0	0	1	3	1	0
ENSMUSG00000066693	15	15	21	15	12	15	22	13	15	23	14	32
ENSMUSG00000102316	24	17	22	17	16	33	12	24	20	22	38	23
ENSMUSG00000103819	7	6	10	4	14	5	6	7	7	9	13	10
ENSMUSG00000102871	30	31	42	37	41	46	33	24	38	45	55	44
ENSMUSG00000101571	3	0	3	3	0	2	1	0	1	0	1	3
ENSMUSG00000104428	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000102272	1	1	2	0	0	1	0	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	0	0	0	0	1	3	1	0	2	0	1	0
ENSMUSG00000061024	433	418	487	422	437	539	349	364	410	323	420	403
ENSMUSG00000025911	63	46	81	67	73	93	91	52	79	61	116	85
ENSMUSG00000079671	35	37	34	25	33	36	30	28	49	27	24	23
ENSMUSG00000081441	1	1	3	0	3	1	1	3	2	3	1	3
ENSMUSG00000067879	507	547	517	489	553	444	404	494	597	451	497	467
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	225	240	197	252	292	333	276	163	216	200	199	305
ENSMUSG00000045210	1746	1875	1981	1943	1968	2329	1624	1518	1973	1631	1829	1792
